"ADM2_CODE","ADM2_NAME","STR2_YEAR","EXP2_YEAR","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Leng","Shape_Area","BB"
17545,"Andaman Islands",1000,3000,1484,"Andaman and Nicobar","Member State","NO",115,"India",22.5514500894,0.482046133679,"[0,555]"
17546,"Nicobar Islands",1000,3000,1484,"Andaman and Nicobar","Member State","NO",115,"India",6.2000380296,0.140888272446,"[0,555]"
17547,"Adilabad",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",8.10355305633,1.37864829265,"(1.67e+03,2.22e+03]"
17548,"Anantapur",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",11.9417502419,1.6118757313,"(1.11e+03,1.67e+03]"
17549,"Chittoor",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",10.1540890346,1.26620942863,"(1.11e+03,1.67e+03]"
17550,"Cuddapah",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",6.68259962998,1.26994890284,"(1.11e+03,1.67e+03]"
17551,"East Godavari",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",11.7428995995,0.893305953355,"(2.22e+03,2.78e+03]"
17552,"Guntur",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",8.15638095208,0.962808172274,"(1.67e+03,2.22e+03]"
17553,"Hyderabad",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",0.596126912892,0.0151366189084,"(1.67e+03,2.22e+03]"
17554,"Karimnagar",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",7.09401969541,1.01837435764,"(1.67e+03,2.22e+03]"
17555,"Khammam",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",9.69616495064,1.37049440609,"(2.22e+03,2.78e+03]"
17556,"Krishna",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",11.9279175082,0.7114703283,"(2.22e+03,2.78e+03]"
17557,"Kurnool",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",7.77334425703,1.49762690946,"(1.11e+03,1.67e+03]"
17558,"Mahbubnagar",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",9.18296552599,1.55506453098,"(1.11e+03,1.67e+03]"
17559,"Medak",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",6.83263696821,0.831896029049,"(1.67e+03,2.22e+03]"
17560,"Nalgonda",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",6.40444380993,1.19636963318,"(1.67e+03,2.22e+03]"
17561,"Nellore",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",7.7289467226,1.12445181917,"(1.11e+03,1.67e+03]"
17562,"Nizamabad",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",4.68558034211,0.676637205211,"(1.67e+03,2.22e+03]"
17563,"Prakasam",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",8.58654811912,1.49944958706,"(1.11e+03,1.67e+03]"
17564,"Rangareddi",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",7.81804723624,0.64147975837,"(1.67e+03,2.22e+03]"
