ADM2_CODE,ADM2_NAME,STR2_YEAR,EXP2_YEAR,ADM1_CODE,ADM1_NAME,STATUS,DISP_AREA,ADM0_CODE,ADM0_NAME,Shape_Leng,Shape_Area,BS
17545,Andaman Islands,1000,3000,1484,Andaman and Nicobar,Member State,NO,115,India,22.55145009,0.482046134,"[0,147]"
17546,Nicobar Islands,1000,3000,1484,Andaman and Nicobar,Member State,NO,115,India,6.20003803,0.140888272,"[0,147]"
17547,Adilabad,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,8.103553056,1.378648293,"(293,440]"
17548,Anantapur,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,11.94175024,1.611875731,"[0,147]"
17549,Chittoor,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,10.15408903,1.266209429,"[0,147]"
17550,Cuddapah,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,6.68259963,1.269948903,"[0,147]"
17551,East Godavari,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,11.7428996,0.893305953,"(440,586]"
17552,Guntur,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,8.156380952,0.962808172,"(147,293]"
17553,Hyderabad,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,0.596126913,0.015136619,"(293,440]"
17554,Karimnagar,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,7.094019695,1.018374358,"(293,440]"
17555,Khammam,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,9.696164951,1.370494406,"(293,440]"
17556,Krishna,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,11.92791751,0.711470328,"(293,440]"
17557,Kurnool,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,7.773344257,1.497626909,"[0,147]"
17558,Mahbubnagar,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,9.182965526,1.555064531,"(147,293]"
17559,Medak,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,6.832636968,0.831896029,"(293,440]"
17560,Nalgonda,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,6.40444381,1.196369633,"(293,440]"
17561,Nellore,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,7.728946723,1.124451819,"[0,147]"
17562,Nizamabad,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,4.685580342,0.676637205,"(293,440]"
17563,Prakasam,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,8.586548119,1.499449587,"(147,293]"
17564,Rangareddi,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,7.818047236,0.641479758,"(293,440]"
17565,Srikakulam,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,6.426062868,0.537746722,"(440,586]"
17566,Vishakhapatnam,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,9.220411022,0.970046249,"(440,586]"
17567,Vizianagaram,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,7.185883767,0.489906705,"(586,733]"
17568,Warangal,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,7.5758164,1.092474868,"(293,440]"
17569,West Godavari,1000,3000,1485,Andhra Pradesh,Member State,NO,115,India,4.900164181,0.657586545,"(293,440]"
17576,Barpeta,1000,3000,1487,Assam,Member State,NO,115,India,3.133409885,0.293887432,"(293,440]"
17577,Cachar,1000,3000,1487,Assam,Member State,NO,115,India,3.781115782,0.339163309,"(440,586]"
17578,Darrang,1000,3000,1487,Assam,Member State,NO,115,India,3.049345817,0.30996173,"(293,440]"
17579,Dhuburi,1000,3000,1487,Assam,Member State,NO,115,India,4.411564238,0.255028712,"(293,440]"
17580,Dibrugarh,1000,3000,1487,Assam,Member State,NO,115,India,3.90991536,0.309423218,"(293,440]"
17581,Goalpara,1000,3000,1487,Assam,Member State,NO,115,India,3.028998828,0.171455528,"(293,440]"
17582,Golaghat,1000,3000,1487,Assam,Member State,NO,115,India,5.298976459,0.319165208,"(293,440]"
17583,Kamrup,1000,3000,1487,Assam,Member State,NO,115,India,5.872709897,0.391764914,"(440,586]"
17584,Karbi Anglong,1000,3000,1487,Assam,Member State,NO,115,India,10.19842288,0.940575519,"(440,586]"
17585,Karimganj,1000,3000,1487,Assam,Member State,NO,115,India,1.953573271,0.165121186,"(293,440]"
17589,Nagaon,1000,3000,1487,Assam,Member State,NO,115,India,6.529053127,0.360406667,"(293,440]"
17590,Nalbari,1000,3000,1487,Assam,Member State,NO,115,India,2.793424376,0.211536324,"(293,440]"
17591,North Cachar Hills,1000,3000,1487,Assam,Member State,NO,115,India,4.271930694,0.440350659,"(440,586]"
17592,Sibsagar,1000,3000,1487,Assam,Member State,NO,115,India,3.336590557,0.239488276,"(293,440]"
17593,Sonitpur,1000,3000,1487,Assam,Member State,NO,115,India,4.04682557,0.423561868,"(293,440]"
70086,Bongaigaon,1000,3000,1487,Assam,Member State,NO,115,India,3.086325556,0.210789496,"(293,440]"
70087,Dhemaji,1000,3000,1487,Assam,Member State,NO,115,India,3.519213858,0.228443147,"(293,440]"
70088,Hailakandi,1000,3000,1487,Assam,Member State,NO,115,India,2.153195742,0.118782348,"(440,586]"
70089,Jorhat,1000,3000,1487,Assam,Member State,NO,115,India,3.549954606,0.25757046,"(293,440]"
70090,Kokrajhar,1000,3000,1487,Assam,Member State,NO,115,India,3.609386832,0.301098429,"(293,440]"
70091,Lakhimpur,1000,3000,1487,Assam,Member State,NO,115,India,2.987118265,0.262426868,"(147,293]"
70092,Marigaon,1000,3000,1487,Assam,Member State,NO,115,India,1.914970312,0.140406954,"(293,440]"
70093,Tinsukia,1000,3000,1487,Assam,Member State,NO,115,India,3.680643621,0.346677442,"(293,440]"
17633,Delhi,1000,3000,1489,Delhi,Member State,NO,115,India,2.064430509,0.138635097,"[0,147]"
70122,North Goa,1990,3000,1490,Goa,Member State,NO,115,India,3.529837899,0.142126664,"(147,293]"
70123,South Goa,1990,3000,1490,Goa,Member State,NO,115,India,3.383247329,0.166974458,"(293,440]"
17635,Ahmadabad,1000,3000,1491,Gujarat,Member State,NO,115,India,9.556824792,0.679144438,"[0,147]"
17636,Amreli,1000,3000,1491,Gujarat,Member State,NO,115,India,7.932597721,0.637282472,"[0,147]"
17637,Banas Kantha,2000,3000,1491,Gujarat,Member State,NO,115,India,7.565196973,0.943942678,"[0,147]"
17638,Bharuch,1998,3000,1491,Gujarat,Member State,NO,115,India,8.224541541,0.460483091,"[0,147]"
17639,Bhavnagar,1000,3000,1491,Gujarat,Member State,NO,115,India,12.37127822,0.704847669,"[0,147]"
17640,Gandhinagar,1000,3000,1491,Gujarat,Member State,NO,115,India,2.9539122,0.152023434,"[0,147]"
17641,Jamnagar,1000,3000,1491,Gujarat,Member State,NO,115,India,17.38059857,0.945632317,"[0,147]"
17642,Junagadh,1998,3000,1491,Gujarat,Member State,NO,115,India,7.301027003,0.712912112,"[0,147]"
17643,Kachchh,1000,3000,1491,Gujarat,Member State,NO,115,India,55.35115781,2.455965268,"[0,147]"
17644,Kheda,1998,3000,1491,Gujarat,Member State,NO,115,India,4.56880284,0.350501011,"[0,147]"
17645,Mahesana,2000,3000,1491,Gujarat,Member State,NO,115,India,4.862103703,0.388156927,"[0,147]"
17647,Rajkot,1000,3000,1491,Gujarat,Member State,NO,115,India,10.68812724,0.976638295,"[0,147]"
17648,Sabar Kantha,1000,3000,1491,Gujarat,Member State,NO,115,India,5.699408547,0.658489394,"[0,147]"
17649,Surat,1000,3000,1491,Gujarat,Member State,NO,115,India,10.15495507,0.649624247,"[0,147]"
17650,Surendranagar,1000,3000,1491,Gujarat,Member State,NO,115,India,8.518531721,0.919479833,"[0,147]"
17651,The Dangs,1000,3000,1491,Gujarat,Member State,NO,115,India,1.878737272,0.148477682,"[0,147]"
17652,Vadodara,1000,3000,1491,Gujarat,Member State,NO,115,India,7.351416001,0.677838108,"[0,147]"
17653,Valsad,1998,3000,1491,Gujarat,Member State,NO,115,India,5.912277134,0.261131314,"[0,147]"
70124,Anand,1998,3000,1491,Gujarat,Member State,NO,115,India,3.66293294,0.237034395,"[0,147]"
70125,Dahod,1998,3000,1491,Gujarat,Member State,NO,115,India,4.682961586,0.459792281,"[0,147]"
70126,Narmada,1998,3000,1491,Gujarat,Member State,NO,115,India,3.270822221,0.22418136,"[0,147]"
70127,Navsari,1998,3000,1491,Gujarat,Member State,NO,115,India,5.80200669,0.181489639,"[0,147]"
70128,Panch Mahals,1998,3000,1491,Gujarat,Member State,NO,115,India,5.044329516,0.320717918,"[0,147]"
70129,Patan,2000,3000,1491,Gujarat,Member State,NO,115,India,6.044630796,0.531766555,"[0,147]"
70130,Porbandar,1998,3000,1491,Gujarat,Member State,NO,115,India,3.877199809,0.20615813,"[0,147]"
17654,Ambala,1994,3000,1492,Haryana,Member State,NO,115,India,2.955253455,0.164479868,"[0,147]"
17655,Bhiwani,1000,3000,1492,Haryana,Member State,NO,115,India,3.683748929,0.428093001,"[0,147]"
17657,Gurgaon,1000,3000,1492,Haryana,Member State,NO,115,India,3.918262179,0.252756837,"[0,147]"
17658,Hisar,1998,3000,1492,Haryana,Member State,NO,115,India,3.943790289,0.386878679,"[0,147]"
17659,Jind,1000,3000,1492,Haryana,Member State,NO,115,India,3.368088303,0.254149464,"[0,147]"
17660,Karnal,1990,3000,1492,Haryana,Member State,NO,115,India,2.773671414,0.240933126,"[0,147]"
17661,Kurukshetra,1990,3000,1492,Haryana,Member State,NO,115,India,2.743085594,0.171738826,"[0,147]"
17662,Mahendragarh,1990,3000,1492,Haryana,Member State,NO,115,India,3.593427311,0.177958869,"[0,147]"
17663,Rohtak,1998,3000,1492,Haryana,Member State,NO,115,India,2.324740002,0.155942008,"[0,147]"
17664,Sirsa,1000,3000,1492,Haryana,Member State,NO,115,India,3.946336734,0.394112778,"[0,147]"
17665,Sonepat,1990,3000,1492,Haryana,Member State,NO,115,India,2.530852514,0.205076184,"[0,147]"
70131,Faridabad,1000,3000,1492,Haryana,Member State,NO,115,India,2.679671566,0.19864909,"[0,147]"
70132,Fatehabad,1998,3000,1492,Haryana,Member State,NO,115,India,2.949031403,0.223445207,"[0,147]"
70133,Jhajjar,1998,3000,1492,Haryana,Member State,NO,115,India,2.994642082,0.194834643,"[0,147]"
70134,Kaithal,1990,3000,1492,Haryana,Member State,NO,115,India,3.185074351,0.214695331,"[0,147]"
70135,Panchkula,1994,3000,1492,Haryana,Member State,NO,115,India,1.669007696,0.069475522,"(147,293]"
70136,Panipat,1990,3000,1492,Haryana,Member State,NO,115,India,1.713027778,0.113766544,"[0,147]"
70137,Rewari,1990,3000,1492,Haryana,Member State,NO,115,India,2.280311913,0.115190261,"[0,147]"
70138,Yamuna Nagar,1990,3000,1492,Haryana,Member State,NO,115,India,1.910097646,0.122342256,"[0,147]"
17666,Bilaspur,1000,3000,1493,Himachal Pradesh,Member State,NO,115,India,2.130327603,0.110555008,"[0,147]"
17667,Chamba,1000,3000,1493,Himachal Pradesh,Member State,NO,115,India,4.931324681,0.581802559,"[0,147]"
17668,Hamirpur,1000,3000,1493,Himachal Pradesh,Member State,NO,115,India,1.693285545,0.106654241,"[0,147]"
17669,Kangra,1000,3000,1493,Himachal Pradesh,Member State,NO,115,India,5.083689685,0.545261048,"[0,147]"
17670,Kinnaur,1000,3000,1493,Himachal Pradesh,Member State,NO,115,India,4.642153845,0.602524767,"[0,147]"
17671,Kullu,1000,3000,1493,Himachal Pradesh,Member State,NO,115,India,3.784995231,0.524580423,"[0,147]"
17672,Lahul and Spiti,1000,3000,1493,Himachal Pradesh,Member State,NO,115,India,7.948654285,1.278572848,"[0,147]"
17673,Mandi,1000,3000,1493,Himachal Pradesh,Member State,NO,115,India,2.973453645,0.375371474,"[0,147]"
17674,Shimla,1000,3000,1493,Himachal Pradesh,Member State,NO,115,India,5.088000319,0.485694094,"[0,147]"
17675,Sirmaur,1000,3000,1493,Himachal Pradesh,Member State,NO,115,India,3.060586756,0.264368799,"[0,147]"
17676,Solan,1000,3000,1493,Himachal Pradesh,Member State,NO,115,India,2.689996141,0.184812698,"[0,147]"
17677,Una,1000,3000,1493,Himachal Pradesh,Member State,NO,115,India,2.085067587,0.146097295,"[0,147]"
17679,Belgaum,1000,3000,1494,Karnataka,Member State,NO,115,India,9.391777584,1.12651719,"(147,293]"
17680,Bellary,1997,3000,1494,Karnataka,Member State,NO,115,India,6.838865843,0.708337263,"(147,293]"
17681,Bidar,1000,3000,1494,Karnataka,Member State,NO,115,India,4.66825297,0.463418235,"[0,147]"
17682,Bijapur,1997,3000,1494,Karnataka,Member State,NO,115,India,6.235993485,0.888709984,"[0,147]"
17683,Chikmagalur,1000,3000,1494,Karnataka,Member State,NO,115,India,4.978838656,0.600026863,"(440,586]"
17685,Dakshin Kannad,1997,3000,1494,Karnataka,Member State,NO,115,India,4.254836716,0.379896636,"(586,733]"
17686,Dharwad,1997,3000,1494,Karnataka,Member State,NO,115,India,4.03747878,0.358696369,"(293,440]"
17687,Gulbarga,1000,3000,1494,Karnataka,Member State,NO,115,India,8.978817505,1.377263052,"[0,147]"
17688,Hassan,1000,3000,1494,Karnataka,Member State,NO,115,India,5.528015678,0.565800265,"(147,293]"
17689,Kodagu,1000,3000,1494,Karnataka,Member State,NO,115,India,3.897782009,0.340390758,"(440,586]"
17690,Kolar,1000,3000,1494,Karnataka,Member State,NO,115,India,6.826550629,0.684285325,"[0,147]"
17691,Mandya,1000,3000,1494,Karnataka,Member State,NO,115,India,4.424020868,0.409783826,"(147,293]"
17692,Mysore,1997,3000,1494,Karnataka,Member State,NO,115,India,5.510739342,0.52312406,"(293,440]"
17693,Raichur,1997,3000,1494,Karnataka,Member State,NO,115,India,4.850781265,0.712555285,"[0,147]"
17694,Shimoga,1997,3000,1494,Karnataka,Member State,NO,115,India,5.892603932,0.647171433,"(440,586]"
17695,Tumkur,1000,3000,1494,Karnataka,Member State,NO,115,India,9.155249074,0.884369413,"(147,293]"
17696,Uttar Kannand,1000,3000,1494,Karnataka,Member State,NO,115,India,8.612038169,0.86303448,"(586,733]"
70157,Bagalkot,1997,3000,1494,Karnataka,Member State,NO,115,India,5.777876177,0.553821708,"[0,147]"
70158,Bangalore Rural,1000,3000,1494,Karnataka,Member State,NO,115,India,7.177115436,0.483936585,"(147,293]"
70159,Bangalore Urban,1000,3000,1494,Karnataka,Member State,NO,115,India,2.772938362,0.181516804,"(147,293]"
70160,Chamrajnagar,1997,3000,1494,Karnataka,Member State,NO,115,India,5.050475451,0.469209557,"(147,293]"
70161,Chitradurga,1997,3000,1494,Karnataka,Member State,NO,115,India,5.785205546,0.705669081,"(147,293]"
70162,Davanagere,1997,3000,1494,Karnataka,Member State,NO,115,India,5.593154424,0.553735625,"(147,293]"
70163,Gadag,1997,3000,1494,Karnataka,Member State,NO,115,India,4.902701276,0.389915233,"(147,293]"
70164,Haveri,1997,3000,1494,Karnataka,Member State,NO,115,India,4.074156054,0.402374205,"(293,440]"
70165,Koppal,1997,3000,1494,Karnataka,Member State,NO,115,India,4.852234385,0.468085913,"(147,293]"
70166,Udupi,1997,3000,1494,Karnataka,Member State,NO,115,India,4.473987365,0.324776435,"(586,733]"
17698,Kannur,1000,3000,1495,Kerala,Member State,NO,115,India,3.359240431,0.232518839,"(586,733]"
17699,Ernakulam,1000,3000,1495,Kerala,Member State,NO,115,India,3.658969241,0.189370928,"(440,586]"
17700,Idukki,1000,3000,1495,Kerala,Member State,NO,115,India,4.865485785,0.411327614,"(440,586]"
17701,Kasaragod,1000,3000,1495,Kerala,Member State,NO,115,India,2.961169939,0.163392305,"(586,733]"
17702,Kottayam,1000,3000,1495,Kerala,Member State,NO,115,India,2.514787727,0.175828846,"(440,586]"
17703,Kozhikode,1000,3000,1495,Kerala,Member State,NO,115,India,2.502714945,0.188630015,"(147,293]"
17704,Malappuram,1000,3000,1495,Kerala,Member State,NO,115,India,3.276159686,0.289935515,"(586,733]"
17705,Palakkad,1000,3000,1495,Kerala,Member State,NO,115,India,4.49404357,0.36966612,"(440,586]"
17706,Pattanamtitta,1000,3000,1495,Kerala,Member State,NO,115,India,3.160945395,0.216769167,"(440,586]"
17707,Kollam,1000,3000,1495,Kerala,Member State,NO,115,India,4.772437671,0.193473466,"(440,586]"
17708,Thrissur,1000,3000,1495,Kerala,Member State,NO,115,India,3.296515167,0.243594078,"(440,586]"
17709,Thiruvananthapuram,1000,3000,1495,Kerala,Member State,NO,115,India,2.660980684,0.167488674,"(440,586]"
17710,Wayanad,1000,3000,1495,Kerala,Member State,NO,115,India,2.369958661,0.175953344,"(440,586]"
70298,Alappuzha,1000,3000,1495,Kerala,Member State,NO,115,India,3.294028644,0.107946948,"(440,586]"
70167,Kavaratti,1000,3000,1496,Lakshadweep,Member State,NO,115,India,1.557001194,0.002708153,"[0,147]"
17758,Akola,1997,3000,1498,Maharashtra,Member State,NO,115,India,5.068875841,0.478227508,"[0,147]"
17759,Amravati,1000,3000,1498,Maharashtra,Member State,NO,115,India,8.120822604,1.059937879,"[0,147]"
17761,Bhandara,2000,3000,1498,Maharashtra,Member State,NO,115,India,5.97867809,0.408768914,"[0,147]"
17762,Buldana,1000,3000,1498,Maharashtra,Member State,NO,115,India,6.137634771,0.831675658,"[0,147]"
17763,Chandrapur,1000,3000,1498,Maharashtra,Member State,NO,115,India,5.972738929,0.9768781,"[0,147]"
17764,Dhule,1998,3000,1498,Maharashtra,Member State,NO,115,India,5.438668863,0.623029754,"[0,147]"
17765,Garhchiroli,1000,3000,1498,Maharashtra,Member State,NO,115,India,8.323867632,1.246614153,"[0,147]"
17767,Jalgaon,1000,3000,1498,Maharashtra,Member State,NO,115,India,6.835765466,1.020173846,"[0,147]"
17769,Kolhapur,1000,3000,1498,Maharashtra,Member State,NO,115,India,8.164295364,0.647767355,"(147,293]"
17770,Latur,1000,3000,1498,Maharashtra,Member State,NO,115,India,4.607155019,0.618378468,"[0,147]"
17771,Nagpur,1000,3000,1498,Maharashtra,Member State,NO,115,India,5.455328226,0.863321843,"[0,147]"
17772,Nanded,1000,3000,1498,Maharashtra,Member State,NO,115,India,9.387369045,0.909123182,"[0,147]"
17773,Nashik,1000,3000,1498,Maharashtra,Member State,NO,115,India,7.707159149,1.340967878,"[0,147]"
17774,Osmanabad,1000,3000,1498,Maharashtra,Member State,NO,115,India,6.82482778,0.644802428,"[0,147]"
17776,Pune,1000,3000,1498,Maharashtra,Member State,NO,115,India,8.752429277,1.33527723,"[0,147]"
17777,Raigarh,1000,3000,1498,Maharashtra,Member State,NO,115,India,11.26010052,0.589605758,"(147,293]"
17778,Ratnagiri,1000,3000,1498,Maharashtra,Member State,NO,115,India,7.523239675,0.720039301,"(293,440]"
17779,Sindhudurg,1000,3000,1498,Maharashtra,Member State,NO,115,India,7.427180128,0.435661254,"(293,440]"
17780,Sangli,1000,3000,1498,Maharashtra,Member State,NO,115,India,8.255986086,0.724658664,"(147,293]"
17781,Satara,1000,3000,1498,Maharashtra,Member State,NO,115,India,5.699767656,0.891484153,"(147,293]"
17782,Solapur,1000,3000,1498,Maharashtra,Member State,NO,115,India,10.97287279,1.26690159,"[0,147]"
17783,Thane,1000,3000,1498,Maharashtra,Member State,NO,115,India,10.20010087,0.811750098,"(147,293]"
17784,Wardha,1000,3000,1498,Maharashtra,Member State,NO,115,India,4.352555935,0.547360089,"[0,147]"
17785,Yavatmal,1000,3000,1498,Maharashtra,Member State,NO,115,India,8.384856436,1.168229,"[0,147]"
17786,Aurangabad,1000,3000,1498,Maharashtra,Member State,NO,115,India,6.775391189,0.871359909,"[0,147]"
70178,Ahmednagar,1000,3000,1498,Maharashtra,Member State,NO,115,India,10.55190489,1.385957548,"[0,147]"
70179,Bid,1000,3000,1498,Maharashtra,Member State,NO,115,India,7.759620731,0.978864199,"[0,147]"
70180,Gondiya,2000,3000,1498,Maharashtra,Member State,NO,115,India,4.470254081,0.40312797,"[0,147]"
70181,Hingoli,2000,3000,1498,Maharashtra,Member State,NO,115,India,4.427925565,0.403499728,"[0,147]"
70182,Jalna,1000,3000,1498,Maharashtra,Member State,NO,115,India,6.079515381,0.670745867,"[0,147]"
70183,Mumbai Suburban,1997,3000,1498,Maharashtra,Member State,NO,115,India,1.221746788,0.035049882,"(147,293]"
70184,Mumbai city,1997,3000,1498,Maharashtra,Member State,NO,115,India,0.794985135,0.006605275,"(147,293]"
70185,Nandurbar,1998,3000,1498,Maharashtra,Member State,NO,115,India,6.226552618,0.517185903,"[0,147]"
70186,Parbhani,2000,3000,1498,Maharashtra,Member State,NO,115,India,5.019542641,0.543877796,"[0,147]"
70187,Washim,1997,3000,1498,Maharashtra,Member State,NO,115,India,5.318949059,0.44880137,"[0,147]"
70188,Bishnupur,1000,3000,1500,Manipur,Member State,NO,115,India,1.512526463,0.042840752,"(586,733]"
70189,Chandel,1000,3000,1500,Manipur,Member State,NO,115,India,2.962446184,0.284098472,"(440,586]"
70190,Churachandpur,1000,3000,1500,Manipur,Member State,NO,115,India,4.133232141,0.422689241,"(440,586]"
70191,East Imphal,1997,3000,1500,Manipur,Member State,NO,115,India,2.786086487,0.053417863,"(440,586]"
70192,Senapati,1000,3000,1500,Manipur,Member State,NO,115,India,6.248956291,0.312109139,"(147,293]"
70193,Tamenglong,1000,3000,1500,Manipur,Member State,NO,115,India,3.987249293,0.375155164,"(440,586]"
70194,Thoubal,1000,3000,1500,Manipur,Member State,NO,115,India,2.066735154,0.063619833,"(440,586]"
70195,Ukhrul,1000,3000,1500,Manipur,Member State,NO,115,India,3.462684992,0.39506274,"(147,293]"
70196,West Imphal,1997,3000,1500,Manipur,Member State,NO,115,India,1.87303501,0.043571415,"(440,586]"
17793,East Garo Hills,1000,3000,1501,Meghalaya,Member State,NO,115,India,3.559469187,0.263998579,"(440,586]"
17794,East Khasi Hills,1992,3000,1501,Meghalaya,Member State,NO,115,India,2.808401339,0.258678663,"(147,293]"
17795,Jaintia Hills,1000,3000,1501,Meghalaya,Member State,NO,115,India,3.288667028,0.342635504,"(440,586]"
17796,West Garo Hills,1992,3000,1501,Meghalaya,Member State,NO,115,India,2.889843827,0.308518083,"(440,586]"
