"ADM2_CODE","ADM2_NAME","STR2_YEAR","EXP2_YEAR","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Leng","Shape_Area","BB"
5761,"Barguna",1000,3000,575,"Barisal","Member State","NO",23,"Bangladesh",3.4453134855,0.12486323553,"Severe"
5762,"Barisal",1000,3000,575,"Barisal","Member State","NO",23,"Bangladesh",3.7939222516,0.22331332012,"Severe"
5763,"Bhola",1000,3000,575,"Barisal","Member State","NO",23,"Bangladesh",6.06889059421,0.1994636927,"Severe"
5764,"Jhalokati",1000,3000,575,"Barisal","Member State","NO",23,"Bangladesh",2.06501551499,0.06519962578,"Severe"
5765,"Patuakhali",1000,3000,575,"Barisal","Member State","NO",23,"Bangladesh",9.86719488708,0.2203192929,"Severe"
5766,"Pirojpur",1000,3000,575,"Barisal","Member State","NO",23,"Bangladesh",3.03251098906,0.11020985645,"Severe"
5767,"Bandarban",1000,3000,576,"Chittagong","Member State","NO",23,"Bangladesh",5.41781730892,0.40354377636,"Severe"
5768,"Brahamanbaria",1000,3000,576,"Chittagong","Member State","NO",23,"Bangladesh",3.48197144539,0.16979632003,"Severe"
5769,"Chandpur",1000,3000,576,"Chittagong","Member State","NO",23,"Bangladesh",2.49810999088,0.15043469861,"Severe"
5770,"Chittagong",1000,3000,576,"Chittagong","Member State","NO",23,"Bangladesh",7.88430902733,0.38224744927,"Severe"
5771,"Comilla",1000,3000,576,"Chittagong","Member State","NO",23,"Bangladesh",3.71453354997,0.27048790721,"Severe"
5772,"Cox's Bazar",1000,3000,576,"Chittagong","Member State","NO",23,"Bangladesh",9.36822330552,0.17807546125,"Severe"
5773,"Feni",1000,3000,576,"Chittagong","Member State","NO",23,"Bangladesh",2.43218188702,0.07753417163,"Severe"
5774,"Khagrachhari",1000,3000,576,"Chittagong","Member State","NO",23,"Bangladesh",3.12158439605,0.25084846619,"Severe"
5775,"Lakshmipur",1000,3000,576,"Chittagong","Member State","NO",23,"Bangladesh",2.59821719618,0.12694457992,"Severe"
5776,"Noakhali",1000,3000,576,"Chittagong","Member State","NO",23,"Bangladesh",8.42808575719,0.21321090396,"Severe"
5777,"Rangamati",1000,3000,576,"Chittagong","Member State","NO",23,"Bangladesh",5.76275279965,0.50248909549,"Severe"
5778,"Dhaka",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",3.22574930953,0.1300202606,"Severe"
5779,"Faridpur",1000,3000,577,"Dhaka","Member State","NO",23,"Bangladesh",3.35096007564,0.17975957971,"Severe"
