"ADM2_CODE","ADM2_NAME","STR2_YEAR","EXP2_YEAR","ADM1_CODE","ADM1_NAME","STATUS","DISP_AREA","ADM0_CODE","ADM0_NAME","Shape_Leng","Shape_Area","BS_Modified"
17545,"Andaman Islands",1000,3000,1484,"Andaman and Nicobar","Member State","NO",115,"India",22.5514500894,0.48204613368,NA
17546,"Nicobar Islands",1000,3000,1484,"Andaman and Nicobar","Member State","NO",115,"India",6.2000380296,0.14088827245,NA
17547,"Adilabad",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",8.10355305633,1.37864829265,"Moderate"
17548,"Anantapur",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",11.9417502419,1.6118757313,"Low"
17549,"Chittoor",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",10.1540890346,1.26620942863,"Low"
17550,"Cuddapah",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",6.68259962998,1.26994890284,"Low"
17551,"East Godavari",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",11.7428995995,0.89330595335,"Moderately Severe"
17552,"Guntur",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",8.15638095208,0.96280817227,"Moderately Low"
17553,"Hyderabad",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",0.59612691289,0.01513661891,"Moderate"
17554,"Karimnagar",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",7.09401969541,1.01837435764,"Moderate"
17555,"Khammam",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",9.69616495064,1.37049440609,"Moderate"
17556,"Krishna",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",11.9279175082,0.7114703283,"Moderately Low"
17557,"Kurnool",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",7.77334425703,1.49762690946,"Low"
17558,"Mahbubnagar",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",9.18296552599,1.55506453098,"Moderately Low"
17559,"Medak",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",6.83263696821,0.83189602905,"Moderate"
17560,"Nalgonda",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",6.40444380993,1.19636963318,"Moderately Low"
17561,"Nellore",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",7.7289467226,1.12445181917,"Low"
17562,"Nizamabad",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",4.68558034211,0.67663720521,"Moderately Low"
17563,"Prakasam",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",8.58654811912,1.49944958706,"Moderately Low"
17564,"Rangareddi",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",7.81804723624,0.64147975837,"Moderate"
17565,"Srikakulam",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",6.42606286751,0.53774672174,"Moderately Severe"
17566,"Vishakhapatnam",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",9.22041102216,0.97004624922,"Moderately Severe"
17567,"Vizianagaram",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",7.18588376707,0.48990670523,"Severe"
17568,"Warangal",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",7.57581639978,1.09247486794,"Moderate"
17569,"West Godavari",1000,3000,1485,"Andhra Pradesh","Member State","NO",115,"India",4.90016418069,0.65758654526,"Moderate"
17576,"Barpeta",1000,3000,1487,"Assam","Member State","NO",115,"India",3.13340988465,0.2938874322,"Moderate"
17577,"Cachar",1000,3000,1487,"Assam","Member State","NO",115,"India",3.78111578186,0.33916330883,"Moderate"
17578,"Darrang",1000,3000,1487,"Assam","Member State","NO",115,"India",3.04934581687,0.30996173002,"Moderate"
17579,"Dhuburi",1000,3000,1487,"Assam","Member State","NO",115,"India",4.41156423821,0.25502871228,NA
